mid_price,mid_price_wt,mid_price_mkt,book_imbalance,order_imbalance,timestamp
47267000.0,47268500.0,47266617.02127659,2172.056267105043,0.32170000000000004,2023-11-08 04:13:09.545458
47254000.0,47258600.0,47253068.25499035,3077.2079706266522,-2.0679999999999996,2023-11-08 04:13:14.646315
47247500.0,47248100.0,47247352.50266241,130.44348588585854,-0.21759999999999996,2023-11-08 04:13:19.763819
47222000.0,47223400.0,47222190.77568134,227.98640793561935,-2.4166,2023-11-08 04:13:24.881041
47225000.0,47225200.0,47221041.02564103,-924.0562366768718,-1.5931000000000002,2023-11-08 04:13:30.042164
47249000.0,47248000.0,47248392.99065421,-1862.5451007187366,-0.5756,2023-11-08 04:13:35.233796
47249500.0,47247000.0,47250992.96600234,-1432.1409097537398,0.11019999999999996,2023-11-08 04:13:40.370184
47232000.0,47233100.0,47232878.39999999,-956.7251047566533,-2.4582,2023-11-08 04:13:45.479262
47222500.0,47223600.0,47220263.944223106,-970.258001126349,-2.7281999999999997,2023-11-08 04:13:50.581817
47236500.0,47237700.0,47230187.65555002,707.1854401603341,-1.3305999999999996,2023-11-08 04:13:55.731043
47236500.0,47236900.0,47233979.12784198,-573.8659485727549,-0.31000000000000005,2023-11-08 04:14:00.837916
47225500.0,47226200.0,47228999.33818664,1048.4273405373096,-1.5407999999999997,2023-11-08 04:14:05.939947
47196500.0,47198400.0,47196004.722550176,-6.1837561428546906,-0.2904,2023-11-08 04:14:11.047867
47201500.0,47216400.0,47197112.86438004,10014.745390303433,-2.0060999999999996,2023-11-08 04:14:16.177428
47201000.0,47203200.0,47205952.43757431,3291.6760053783655,-0.018899999999999972,2023-11-08 04:14:21.278905
47191000.0,47190600.0,47188758.83575883,-112.48314933478832,0.7933,2023-11-08 04:14:26.385644
47184000.0,47183600.0,47177426.59279779,-1119.2865205481648,-1.664,2023-11-08 04:14:31.486746
47199000.0,47202500.0,47202236.532677054,3050.898012086749,-2.0789,2023-11-08 04:14:36.600361
47194500.0,47194900.0,47197478.26086956,157.02984481304884,-0.03040000000000001,2023-11-08 04:14:41.767235
47192000.0,47191900.0,47186235.294117644,-1370.693032629788,-2.229,2023-11-08 04:14:46.871716
47201500.0,47199900.0,47198169.64285714,-3545.8699456602335,-2.261,2023-11-08 04:14:51.980765
47213500.0,47215300.0,47214313.31331331,3030.8907657563686,0.1997,2023-11-08 04:14:57.081489
47197500.0,47196900.0,47200058.333333336,-1792.0235405862331,-0.8162999999999999,2023-11-08 04:15:02.190492
47195500.0,47194500.0,47194372.37340683,-3028.1838271841407,-3.0529,2023-11-08 04:15:07.320296
47195500.0,47197200.0,47194367.64539168,-316.403196811676,-3.2016999999999998,2023-11-08 04:15:12.421465
47195000.0,47196100.0,47195205.17560074,-197.14307061582804,-3.1571999999999996,2023-11-08 04:15:17.531881
47185500.0,47184500.0,47181107.78443114,-1434.2169972285628,-0.4194,2023-11-08 04:15:22.645148
47174000.0,47177200.0,47172477.495107636,1648.6038940772414,-0.7427000000000001,2023-11-08 04:15:27.748707
47182000.0,47182000.0,47183596.33027522,-136.82214464992285,-0.6569,2023-11-08 04:15:32.856760
47202000.0,47203800.0,47203041.91616766,1083.8768286257982,-0.7656,2023-11-08 04:15:37.966186
47232500.0,47233500.0,47235892.307692304,3647.124990068376,0.4075,2023-11-08 04:15:43.074288
47245000.0,47241500.0,47245960.0,-2296.0644438639283,0.06750000000000003,2023-11-08 04:15:48.178246
47235500.0,47235900.0,47232263.15789474,-883.8765568807721,-0.22080000000000002,2023-11-08 04:15:53.283633
47218500.0,47218400.0,47214265.07092199,-2357.12046700716,-2.6012999999999997,2023-11-08 04:15:58.403762
47215500.0,47215400.0,47212295.236168705,-250.97432826459408,-0.5825999999999998,2023-11-08 04:16:03.515591
47226500.0,47228400.0,47224515.66265061,1212.5093304887414,-0.7394000000000001,2023-11-08 04:16:08.645716
47236000.0,47235800.0,47239775.28089888,1374.3348791897297,0.2735,2023-11-08 04:16:13.765467
47242500.0,47243600.0,47244699.45355191,3645.609193250537,2.5797,2023-11-08 04:16:18.885010
47228000.0,47224800.0,47225052.631578945,-3667.7889715880156,0.12269999999999992,2023-11-08 04:16:23.995707
47230500.0,47231600.0,47232194.08502773,1504.4840581417084,0.6822000000000001,2023-11-08 04:16:29.123711
47243500.0,47245100.0,47243015.17376408,1908.386054098606,1.0365000000000002,2023-11-08 04:16:34.221921
47239500.0,47240700.0,47236379.294755876,3023.531407274306,1.2374999999999998,2023-11-08 04:16:39.321491
47240000.0,47240900.0,47236020.15113349,1403.2680003792048,1.1031,2023-11-08 04:16:44.431147
47240000.0,47239200.0,47236021.066491105,-1668.7104158774018,1.0181000000000002,2023-11-08 04:16:49.534031
47232500.0,47231700.0,47231051.50214592,-2523.0934588238597,0.1437,2023-11-08 04:16:54.678553
47223000.0,47221700.0,47220522.70235966,-2780.423669613898,-2.9910000000000005,2023-11-08 04:16:59.790694
47223500.0,47221800.0,47223124.29378531,-2399.909375682473,-0.09100000000000003,2023-11-08 04:17:04.899366
47205500.0,47205500.0,47205500.0,-2313.43265093863,-3.3609999999999998,2023-11-08 04:17:10.009299
47203500.0,47205000.0,47202387.75510204,-1295.9063985943794,-3.4899999999999998,2023-11-08 04:17:15.117487
47187000.0,47186700.0,47181045.80152672,-2670.037907458842,-2.6753000000000005,2023-11-08 04:17:20.221578
47197000.0,47198400.0,47196505.61797753,634.4924609512091,-0.8371,2023-11-08 04:17:25.352540
47196000.0,47197600.0,47195878.048780486,632.2029186859727,-0.8366999999999999,2023-11-08 04:17:30.454229
47203000.0,47200800.0,47201279.06976744,-3803.8819777294993,-0.8301000000000001,2023-11-08 04:17:35.578784
47193000.0,47196300.0,47195983.95721925,4648.5716808363795,-0.05829999999999996,2023-11-08 04:17:40.680414
47189000.0,47188900.0,47185389.14027149,-1488.7350190579891,-0.8452,2023-11-08 04:17:45.793738
47180500.0,47180700.0,47180502.06733609,-763.3280252888799,-0.8047000000000002,2023-11-08 04:17:50.908738
47173500.0,47171700.0,47174449.20993228,-1465.1838863119483,-0.47009999999999996,2023-11-08 04:17:56.015585
47168000.0,47168300.0,47169623.93162393,-27.578587651252747,-0.6331,2023-11-08 04:18:01.123298
47170000.0,47169100.0,47173931.29770993,-432.8290926069021,-0.39390000000000003,2023-11-08 04:18:06.254608
47164500.0,47163800.0,47161823.52941176,-867.0651281327009,0.21990000000000004,2023-11-08 04:18:11.359916
47153000.0,47156400.0,47153415.09433962,3414.598863437772,-0.0509,2023-11-08 04:18:16.460610
47148500.0,47148700.0,47146038.53564548,-1876.6495534032583,-2.4363,2023-11-08 04:18:21.562426
47152000.0,47151000.0,47146094.11764707,-187.26282761991024,0.17910000000000004,2023-11-08 04:18:26.679124
47152500.0,47153100.0,47157460.16771489,9.696365036070347,-2.3308999999999997,2023-11-08 04:18:31.785086
47150000.0,47150400.0,47157740.13921113,-1335.1724122688174,-5.6913,2023-11-08 04:18:36.893430
47148500.0,47149800.0,47150976.498237364,3369.6875297129154,0.4011,2023-11-08 04:18:41.995457
47149500.0,47149600.0,47154121.63579168,-466.4891138151288,-3.1647999999999996,2023-11-08 04:18:47.108990
47148000.0,47147900.0,47142751.381215475,-1537.0098912268877,-3.1754,2023-11-08 04:18:52.217801
47147000.0,47147000.0,47151862.18776916,-1662.4681008160114,-3.2946999999999997,2023-11-08 04:18:57.319868
47144000.0,47146700.0,47142132.661183335,157.21745973080397,-5.6127,2023-11-08 04:19:02.421832
47154500.0,47154800.0,47155039.28571429,1029.5408926904202,0.28969999999999996,2023-11-08 04:19:07.573151
47152500.0,47152200.0,47151659.210526325,702.1330298632383,0.2871,2023-11-08 04:19:12.697204
47154500.0,47154600.0,47158298.20864067,945.8791718930006,0.13549999999999998,2023-11-08 04:19:17.802458
47149500.0,47151000.0,47149500.00000001,2786.9469992667437,0.2887,2023-11-08 04:19:22.918339
47150000.0,47149500.0,47157574.72417251,-130.58745294809341,0.09849999999999998,2023-11-08 04:19:28.024267
47154500.0,47154700.0,47155686.2745098,208.35292244702578,-2.9889,2023-11-08 04:19:33.121317
47150500.0,47150700.0,47155251.86519166,215.53787464648485,0.24569999999999992,2023-11-08 04:19:38.217002
47155000.0,47153600.0,47151030.1602262,-3077.899701729417,-3.1748,2023-11-08 04:19:43.332087
47165500.0,47166500.0,47165995.63318777,3027.2631144300103,2.0461,2023-11-08 04:19:48.446473
47167000.0,47166100.0,47170967.11202467,-676.8023121729493,-0.6309,2023-11-08 04:19:53.582305
47164000.0,47164700.0,47165421.875,334.71277141571045,-0.6392,2023-11-08 04:19:58.688361
47167500.0,47167800.0,47166689.13480885,-617.8550538346171,-0.8939999999999999,2023-11-08 04:20:03.791020
47167500.0,47168100.0,47161046.34581105,-1128.3781643733382,-1.0147,2023-11-08 04:20:08.899788
47179000.0,47181300.0,47180995.411528535,7356.305350385606,0.6772000000000001,2023-11-08 04:20:14.015909
47202500.0,47199500.0,47202964.80938416,-2336.520556561649,-0.6073,2023-11-08 04:20:19.124664
47198500.0,47196200.0,47196185.18518519,-4501.669186763465,-0.12380000000000005,2023-11-08 04:20:24.223544
47199500.0,47197600.0,47202839.49044586,-2087.161345630884,-3.1079,2023-11-08 04:20:29.327388
47190500.0,47188900.0,47186001.075140364,-4655.126457944512,-3.4585000000000004,2023-11-08 04:20:34.432277
47194500.0,47195400.0,47191654.8463357,487.0475317314267,-1.2281,2023-11-08 04:20:39.534534
47190000.0,47188600.0,47186132.23140496,-3758.707978479564,-3.3469000000000007,2023-11-08 04:20:44.642833
47192000.0,47192600.0,47189138.57677902,841.3776237890124,-0.9969000000000001,2023-11-08 04:20:49.749017
47194500.0,47192700.0,47194961.538461536,-998.6105969026685,0.33019999999999994,2023-11-08 04:20:54.877162
47206500.0,47203800.0,47205625.0,-2153.768235862255,-0.2328,2023-11-08 04:20:59.985470
47199500.0,47195600.0,47196032.07331043,-9317.300307519734,-3.7231,2023-11-08 04:21:05.092118
47191500.0,47188600.0,47191039.21568628,-6165.396068714559,-3.493,2023-11-08 04:21:10.196955
47189000.0,47188600.0,47186339.62264151,-3070.1407238021493,-3.4769000000000005,2023-11-08 04:21:15.323171
47187500.0,47186700.0,47191747.89915966,1142.379284851253,2.4071,2023-11-08 04:21:20.426149
47187000.0,47186700.0,47191693.25153374,162.11216919869184,1.497,2023-11-08 04:21:25.526239
47193500.0,47191600.0,47191943.39622641,-2915.069457888603,2.2798,2023-11-08 04:21:30.634078
47189500.0,47188000.0,47186636.36363637,-2199.5399764850736,1.5517999999999998,2023-11-08 04:21:35.858203
47192500.0,47191300.0,47192371.34502924,-2029.980658262968,-0.0024000000000000132,2023-11-08 04:21:40.965923
47192500.0,47190900.0,47192066.885964915,-3237.76839710027,-0.2034,2023-11-08 04:21:46.069110
47181000.0,47179900.0,47176092.16589861,-3063.4397491663694,-0.1881,2023-11-08 04:21:51.165445
47184000.0,47183000.0,47180200.63191153,-2382.24777662009,-0.1634,2023-11-08 04:21:56.273294
47186500.0,47185500.0,47189031.24999999,-712.3046443983912,0.03290000000000004,2023-11-08 04:22:01.387496
47184500.0,47183600.0,47184284.67153284,-1988.028975509107,-0.15899999999999997,2023-11-08 04:22:06.489153
47184000.0,47184000.0,47179695.94095941,-1009.5700712502003,-0.16979999999999998,2023-11-08 04:22:11.600616
47183500.0,47183500.0,47178565.048543684,-488.6954710111022,-0.06870000000000004,2023-11-08 04:22:16.706839
47187000.0,47184500.0,47186017.20430108,-6060.703730747104,-0.43449999999999994,2023-11-08 04:22:21.815327
47186500.0,47183900.0,47186003.69344413,-6263.9735048264265,-0.5299999999999999,2023-11-08 04:22:26.930297
47190500.0,47188900.0,47190411.089866154,-2757.4116657823324,-0.3229,2023-11-08 04:22:32.029437
47182500.0,47182000.0,47176057.71365149,-2269.9009101763368,-0.23169999999999996,2023-11-08 04:22:37.146303
47178500.0,47179500.0,47180543.49388929,490.02540438622236,-0.0968,2023-11-08 04:22:42.243885
47165000.0,47163700.0,47162230.76923077,-2473.3443843498826,-0.1404,2023-11-08 04:22:47.351172
47166000.0,47166700.0,47169633.879781425,421.61076648533344,-0.002799999999999997,2023-11-08 04:22:52.451746
47169500.0,47171300.0,47175844.7761194,3605.431503288448,0.7978999999999999,2023-11-08 04:22:57.581084
47170000.0,47170400.0,47164375.234521575,-514.7392157912254,-0.17710000000000006,2023-11-08 04:23:02.682565
